Goose_Player_ID,Goose_Species,Goose_Age,Goose_Weight_LBS,Wing_Span_Inches,Chronic_Disease,Injury_Level,Honk_Per_Minute,Speed_MPH,Eliminated,Eliminated_By,Final_Goose_Rank
1,Canada Goose,2,9.4,56.9,,0,6.2,11.5,0,,2263
2,Demon Goose,3,,,Lame,one,4.3,2.0,1,Sank in Squid Ink Swamp,9200
3,Greylag Goose,six,4.0,50.4,Lame,1,23.5,5.8,1,,9966
4, Greylag Goose ,3,8.0,41.0,,0,5.0,9.9,0,Caught by Front Man,2697
5,Canada Goose,seven,,,,0,4.9,12.3,0,,687
6,Canada Goose,5,1120.0,62.9,,0,5.5,11.4,0,Lost in Dalgona Maze,1676
7,Canada Goose,5,,63.6,,0,8.4,10.4,0,,5631
8,Snow Goose,four,7.9,38.5,,1,4.9,10.8,0,,3460
9,Player 456 Goose,7,10.8,57.8,,0,5.1,9.6,0,,3141
10,Greylag Goose,7,11.0,64.2,,1,4.5,7.7,0,,6783
11,Player 456 Goose,6,,,,0,5.7,10.7,0,,2571
12,Demon Goose,6,12.1,71.2,,0,520.0,15.0,0,,11
13,Snow Goose,five,7.8,41.0,,0,25.0,11.2,1,Honked Out of Tune,9821
14, Canada Goose ,6,11.3,65.6,,0,4.8,10.9,0,,1885
15,Canada Goose,4,9.9,55.9,,0,6.1,13.4,0,,631
16,Goosequid,5,12.1,69.7,,0,3.6,13.4,0,,802
17,Canada Goose,4,13.1,78.9,,0,4.4,11.3,0,,1854
18,Grëylag Goosë,4,9.4,,,0,6.8,11.1,0,,3354
19,Canada Goose,4,,64.4,,0,4.6,10.0,0,,3067
20,Canada Goose,6,12.3,6780.0,,0,3.7,10.8,0,,3142
21,Greylag Goose,8,8.5,55.4,,one,4.8,9.1,0,Lost in Dalgona Maze,5323
22,Goosequid,7,16.089265494884895,111.4,,1,3.8,6.5,0,,7744
23,Canada Goose,2,11.3,67.1,Lame,1,2.9,8.6,0,,7222
24,Canada Goose,8,1110.0,60.9,,2,5.4,8.6,0,Lost in Dalgona Maze,7135
25,Canada Goose,4,9.2,56.2,,0,4.3,11.1,0,,2224
26,Greylag Goose,6,9.6,,,1,4.8,8.8,0,,5544
27,Canada Goose,3,10.3,59.2,,10,4.4,10.4,0,,4405
28,Greylag Goose,5,,42.3,Heart Disease,1,3.9,1.8,1,Pecked the Wrong Player,9284
29,Greylag Goose,6,11.9,61.7,,1,3.9,8.6,0,,6559
30,Canada Goose,two,9.5,56.4,,1,4.5,11.3,0,,3355
31,Greylag Goose,6,8.6,5030.0,,0,6.8,10.3,0,,4208
32,Canada Goose,8,11.8,70.5,,1,5.0,7.9,0,,6209
33,Canada Goose,5,12.1,72.1,,0,7.3,10.0,0,,4987
34,Snow Goose,8,8.9,46.1,,1,3.7,8.8,0,,6544
35,Demon Goose,5,6.59090909090909,,,10,5.2,13.3,0,Lost in Dalgona Maze,291
36,Snow Goose,7,7.9,41.9,,0,320.0,11.8,0,,2572
37,Canada Goose,1,11.6,69.7,,0,6.0,12.7,0,,1011
38,Canada Goose,ten,13.2,76.6,,1,6.1,7.6,0,,7223
39,Greylag Goose,8,11.4,66.3,Heart Disease,2,5.1,4.4,1,Wïngs Clïppëd by Rëd Lïght,8987
40,Canada Goose,four,22.6,63.7,Respiratory Issues,2,5.4,0.1,0,,8936
41,Canada Goose,1,10.8,59.7,,0,5.0,12.8,0,,388
42,Canada Goose,6,10.3,59.7,,0,5.7,9.3,0,,4100
43,Canada Goosë,2,9.5,55.4,,1,580.0,10.6,0,Caught by Front Man,4406
44,Snow Goose,six,9.4,48.6,Heart Disease,2,24.6,5.5,1,Honked Out of Tune,9995
45,Canada Goose,6,5.999999999999999,80.4,,0,5.0,10.5,0,,2059
