Age,Weight_kg
5,5.18
5,4.73
19,5.07
10,4.02
6,2.67
2,3.94
13,5.25
7,3.45
14,4.48
20,4.5
1,5.32
12,4.34
6,4.15
5,2.22
14,7.25
23,3.65
17,4
5,4.06
7,3.6
14,5.33
1,3.77
16,4.34
19,5
6,4.4
5,4.56
16,4.35
15,4.2
4,2.89
8,3.79
9,5.68
6,3.98
18,3.35
17,5.59
13,4.83
12,4.56
4,4.48
15,3.54
15,3.12
20,3.7
16,3.78
4,4.81
20,4.13
6,3.56
13,4.31
4,5.07
12,4.73
16,5.42
16,4.66
3,4.19
16,5.01
14,4.47
2,4.36
4,4.2
14,4.43
2,4.88
13,4.1
10,5.17
5,4.28
11,4.29
16,4.32
1,3.8
13,4.39
11,3.51
12,4.19
10,3.74
11,4.12
15,6.89
7,3.58
3,4.06
14,4.57
7,4.85
10,4.18
24,4.99
13,4.86
20,4.54
15,4.43
12,4.38
15,4.14
1,4.22
21,4.96
15,2.93
10,2.65
2,4.05
2,3.17
20,3.33
9,4.37
14,4.05
3,4.78
17,4.35
5,5.78
5,4.69
5,3.28
9,4.35
20,4.93
13,3.95
6,5
13,3.77
2,4.45
8,3.75
2,5.06
10,6.01
6,4.1
12,3.15
17,3.37
4,4.25
6,6.31
13,3.5
8,4.95
24,4.34
4,2.62
15,4.76
8,4.41
4,4.52
5,4.26
16,3.38
3,4.77
14,4.61
1,3.94
9,4.14
13,4.71
15,4.14
4,4.52
6,4.23
3,4.71
23,4.9
2,4.26
2,4.5
17,3.16
11,5.33
1,3.92
1,5.25
17,4.3
4,4.02
5,4.12
8,4.69
6,4.22
17,4.28
6,4.8
5,3.68
10,4.29
4,4.03
18,4
19,4
13,2.93
9,3.96
24,5.29
3,4.99
11,3.64
17,4.06
8,3.35
10,4.32
14,4.89
1,5.1
13,3.54
8,4.24
2,6.03
1,4.53
1,5.03
3,6.81
4,3.31
6,3.71
2,5.54
7,4.42
14,5.14
5,6
5,4.28
5,4.2
5,5.04
14,4.71
5,4.73
3,4.54
21,4.09
7,3.39
7,6.28
18,4.57
10,5.05
10,3.95
17,4.75
15,5.02
5,5.94
9,4.53
7,4.68
15,4.78
10,4.21
16,4.91
10,4.41
18,4.67
18,4.57
12,4.47
5,4.89
2,3.96
16,4.35
